ID,カテゴリ,メイン,イベント名,担当分野,日付1行目,時間2行目,登壇者,タグ,画像,画像ファイル名,説明（200文字程度）,文字数,申込要否,申込URL,公開状態,表示順
evt-01,lecture,TRUE,やりながら、考えをまとめていく──診断メディアから見る、メディア表現学科の現場,クリエイション/AI,7/18（土）,13:00-14:30,光川貴浩（編集者）、水野勝仁、高尾俊介、学生,SNS、診断メディア、デザインリサーチ、情報デザイン、メディア表現発展演習Ⅰ,TRUE,evt-01.png,SNSでよく見かける「あなたは○○タイプ」「あなたと相性がいいのは○○」といった診断メディア。つい試してしまったり、結果を誰かと共有したくなったりするのはなぜでしょうか。メディア表現学科の2年次必修科目「メディア表現発展演習Ⅰ」では、こうした“診断する／される体験”を入り口に、人はなぜ自分を分類したくなるのか、診断メディアはどのように出来ているのかを考えながら、学生とともにオリジナルの診断メディアづくりに取り組んでいます。このイベントでは、授業の中でどのように問いを立て、調べ、考え、形にしていくのかを、編集者の光川貴浩さんとともに振り返ります。制作プロセスにある学生たちの迷いや試行錯誤も含めて、メディア表現学科のリアルな学びの現場をひらきます。「メディア表現って何をするの？」といった疑問に、授業の雰囲気や学び方が伝わる機会になればと思います。,376,FALSE,,published,10
evt-02,lecture,FALSE,『イロドリちゃん』トークショー,クリエイション/AI,7/18（日）,15:00-16:30,イロドリちゃん（大西彩音・2025年度卒）、八尾里絵子,卒業生、デザイン、3Dプリント,TRUE,evt-02.png,この夏、『イロドリちゃん』が神戸に帰ってきます。絵を描くことが大好きで大学に入学し、オリジナルのキャラクターでみんなを楽しくしたい！と、学科の専門分野を横断的に学んできた『イロドリちゃん』。学びのなかで自身の感性と表現力を向上させ、3Dプリンタやウェブなどの実装技術を学んだり、人々に愛されるキャラクターを調査し、SNSだけではなく自ら様々な場所へ赴き『イロドリちゃん』ワールドを発信してきました。さあ、今春から玩具業界で働く『イロドリちゃん』の旅を、卒業生・大西彩音さんと一緒に楽しみましょう！,248,FALSE,,published,30
evt-03,workshop,TRUE,まちを3Dスキャン！未来に残す新しいまちあるき（高砂市・兵庫県連携）,ソーシャルデザイン,7/19（日）,10:00-12:00,四方亮輔（高砂市教育委員会生涯学習課長）、藤井友也（兵庫県デジタル戦略課地域DX支援班長）、宇都宮哲平（株式会社スカイトーン代表取締役）、山下香,地域連携、地域資源、フィールドワーク、3Dスキャン,TRUE,evt-03-2.jpeg,"ワークショップ研究ゼミ3年生は、2021年から高砂市民の皆さんと一緒に、まちの魅力を発見し、まちあるきツアーを企画してきました。2026年度は「出張クリエイティブタウンゼミ」として、兵庫県企画部デジタル戦略課の協力のもと、元町界隈に残る歴史ある建物、一見見落としてしまいそうな面白い風景をスマートフォンやタブレットで3Dスキャンします。まちを歩いて、見つけて、記録して、未来に残す。そんな新しいまちあるきに、ぜひ奮ってご参加ください！
",218,TRUE,https://forms.office.com/r/jZzwAvLqvr,published,60
evt-04,lecture,TRUE,機能とデザイン──デザインは暮らしを豊かにする,ヴィジュアルカルチャー,7/19（日）,13:00-14:30,桑原隆彰（シャープ株式会社 総合デザインセンター グローバルコミュニケーションデザイン責任者）、馬場伸彦、増田のぞみ,デザイン、デザイン思考,TRUE,evt-04.png,今回のトークイベントでは、デザインとは人にとって何なのかという問いについて、とくに生活のなかのデザインという視点から考えます。シャープ株式会社にて家電のデザインを続けてこられた桑原隆彰氏にその経験についてお聞きし、これまでの成功事例やグッドデザイン賞について語っていただきます。メディア表現学科での学びと「デザイン思考」との関わりについても掘り下げます。高校生のみなさん、在学生のみなさん、デザインには何ができるのか、「デザイン思考」を持つことによって暮らしはどのように豊かになるのかについて、ぜひ一緒に考えてみましょう！,261,FALSE,,draft,10
evt-05,lecture,FALSE,チェキを使って「街でみつけた“あれやこれや”マップ」を作ろう！,ソーシャルデザイン,7/19（日）,15:00-16:45,山下香、八尾里絵子,メディア表現入門演習Ⅰ、フィールドワーク,TRUE,evt-05.png,1年生の必修授業「メディア表現入門演習Ⅰ」はメディア表現学科での基礎を学習しています。今回は初めて、そのうちの２クラスが街に飛び出し、フィールドワークにチャレンジします。神戸を代表する元町商店街を歩き、「街でみつけた“あれやこれや”マップ」を作ろうと考えています。道具はチェキ！　街にでてみつけた“あれやこれや”を記録し、みんなで力を合わせて街歩きチェキ＆マップを作ってゆきます。街はこの瞬間も動き続けています。その瞬間を大学1年生の視点で捉え、新たな気づきや問いを育んでいきます。,241,FALSE,,draft,20
evt-06,permanent,FALSE,3Dプリント制作物の配布：メディア表現ガチャ,クリエイション/AI,7/18（土）・19（日）,常設,,3Dプリンタ、デザイン,TRUE,evt-06.png,"コンピュータで設計したデータが、目の前で立体物として出力される瞬間にはいつも驚きがあります。「デジタルファブリケーション」は、3DプリンタとCADを通じてそのプロセスを学ぶ、1年次から履修できる演習授業です。学生たちはCADツールでの3Dデータのデザインから出発し、素材・構造・用途を考慮しながらキーホルダーやアクセサリーを制作しました。当日はガチャガチャを回して、学生がデザインした作品を配布します。併設の3Dプリンタで出力デモもご覧いただけます。

※配布無料、1名1回限り",239,FALSE,,published,80
