ID,タイトル,監督,上映時間,制作年度,作品説明,画像
scr-1,父、木になる,吉田 倖,24分,2025年度,「生まれ変わったら木になりたい」 そう言い残して亡くなった父。その悲しみを乗り越え、健康の大切さを伝えようと奮闘する母。そんな家族をつなぐ一本のダブノキが我が家の庭にある。今だからこそ聞けるそれぞれの想い。父の姿を追い求めることで見えてきた家族の姿とは。,screening_1.png
scr-2,夢現 ーユメウツツー,星山美里,18分,2025年度,私はよく夢を見る。人と違うのはそれを絵や文章に記録すること。怖い夢も楽しい夢も現実より鮮明でいつまでも頭から離れない。夢と現実との境目がわからなくなってしまった私は、自分が見た夢に決着をつけるため恩師のもとへ向かう。アニメと実写を融合した不思議な世界。,screening_2.png
scr-3,コットンダイアリー,尾松琴音,30分,2021年度,コロナ禍で足元の暮らしを見つめ直したコットンは、ちょっとしたこだわりを持ちながら明るく前を向く人々との出会いを重ねていく。料理で人を笑顔にする友人の母。一杯のコーヒーにかける喫茶店主。チャレンジ精神を忘れない元刑事。作者の成長が刻印された新感覚の映像詩。,screening_3.png
scr-4,雲の上はいつも晴れ,湯本唯衣,32分,2024年度,大学2年の夏 私の世界は一変した。幸せの象徴だった空間を失った。忙しい日々を過ごすことで現実から逃れようとしたが、気持ちはついていかなかった。しかし立ち止まることも許されず、新たな幸せを求めて必死にカメラと過ごした。友人・推し・就活… 幸せ探しの旅が始まる。,screening_4.png
scr-5,脳内干渉314,橋爪はなび,31分,2023年度,心を読む能力さえあれば・・・。他人に嫌な思いをさせることへの恐怖から人との関わりを避けて生きる妄想好きの女子大生・はなび。話したくないけど、心の声は聞いてほしい。そんな彼女の日常に、妄想からうまれたもう一人の「はなび」と、自分とよく似た素敵な彼氏が現れて。,screening_5.png
scr-6,チア！ まちの映画館,加藤結衣,31分,2025年度,元町商店街の一角にある小さな街の映画館・元町映画館。「みんなで作り、みんなで運営する」をモットーに人と街と映画を繋いできた。だがコロナ禍以降の観客減少でいま存続の危機を迎えている。学生応援団〈映画チア部〉の活動を通して、ミニシアターの魅力と課題に迫る。,screening_6.png
